AF|11||8740148|Harirud
AL|45||363203|Komuna e Dropullit i Sipërm
AL|51||363214|Komuna e Vergojës
AL|45||363231|Komuna e Dropullit i Poshtëm
AL|51||363244|Bashkia e Sarandës
AL|51||363286|Komuna e Mesopotamit
AL|51||363299|Komuna e Livadhjës
AL|51||363321|Bashkia e Konispolit
AL|51||363364|Komuna e Finiqit
AL|51||363384|Bashkia e Delvinës
AL|46||781062|Bashkia e Bilishtit
AL|47|26|781089|Zherkë
AL|40||781095|Komuna e Zhepës
AL|41||781111|Komuna e Zerqanit
AL|43||781128|Komuna e Zavalinës
AL|47||781133|Komuna e Zapodit
AL|41||781140|Komuna e Zall-Reçit
AL|41||781145|Komuna e Zall-Dardhës
AL|41||781159|Komuna e Xibrit
AL|46||781183|Komuna e Voskopojës
AL|47|26|781210|Vlad
AL|46||781214|Komuna e Vithkuqit
AL|40||781272|Komuna e Vëndreshës
AL|46||781282|Komuna e Velçanit
AL|47||781327|Komuna e Ujmishtit
AL|46||781336|Komuna e Udenishtit
AL|43||781344|Komuna e Tunjës
AL|40||781355|Komuna e Leshnjës
AL|47|26|781359|Komuna e Tropojës
AL|46||781383|Komuna e Trebinjës
AL|47||781406|Komuna e Topojanit
AL|41||781416|Komuna Tomin
AL|45||781444|Bashkia e Tepelenës
AL|47||781469|Komuna e Surrojit
AL|45||781482|Komuna e Sukës
AL|43||781507|Komuna e Stravajt
AL|43||781522|Komuna e Steblevës
AL|41||781564|Komuna e Sllovës
AL|43||781581|Komuna e Skënderbegasit
AL|43||781600|Komuna e Shushicës
AL|41||781602|Komuna e Shupenzës
AL|47||781622|Komuna e Shtiqënit
AL|47|26|781647|Shoshan
AL|47||781665|Komuna e Shishtaveci
AL|43||781668|Komuna e Shirgjanit
AL|41||781741|Komuna e Selishtës
AL|40||781799|Komuna e Roshnikut
AL|43||781864|Komuna e Qukësit
AL|43||781922|Bashkia e Përrenjasit
AL|46||781928|Komuna e Progërit
AL|41||781944|Komuna e Rukajt
AL|40||781952|Komuna e Potomit
AL|43||781963|Komuna e Poroçanit
AL|43||781976|Komuna e Polisit
AL|40||781981|Bashkia e Poliçanit
AL|45||781982|Komuna e Pogonit
AL|46||781987|Komuna e Pojanit
AL|46||781989|Bashkia e Pogradecit
AL|43||782036|Komuna e Pishajt
AL|46||782038|Komuna e Pirgut
AL|45||782045|Komuna e Picarit
AL|45||782050|Komuna e Petranit
AL|41||782062|Bashkia e Peshkopisë
AL|45||782071|Bashkia e Përmetit
AL|47|26|782109|Pac
AL|41||782118|Komuna e Ostrenit
AL|48||782132|Komuna e Oroshit
AL|43||782141|Komuna e Orenjës
AL|46||782165|Komuna e Novoselës
AL|45||782175|Komuna e Zagorit
AL|47|26|782208|Myhejan
AL|43||782251|Komuna e Mollasit
AL|46||782252|Komuna e Mollasit
AL|46||782271|Komuna e Mirasit
AL|41||782322|Komuna e Melanit
AL|41||782356|Komuna e Martaneshit
AL|47|26|782361|Markaj
AL|47|26|782368|Komuna e Margegaje
AL|47||782369|Komuna e Margegajt
AL|41||782373|Komuna e Maqellarës
AL|46||782394|Bashkia e Maliqit
AL|41||782424|Komuna e Macukullit
AL|41||782438|Komuna e Lurës
AL|43||782444|Komuna e Lunikut
AL|40||782451|Komuna e Lumasit
AL|47|26|782482|Komuna e Llugajt
AL|46||782501|Komuna e Liqenasit
AL|43||782520|Bashkia e Librazhdit
AL|45||782524|Bashkia e Libohovës
AL|46||782536|Bashkia e Leskovikut
AL|43||782561|Komuna e Leniasit
AL|46||782577|Komuna e Lekasit
AL|45||782583|Komuna e Lazaratit
AL|43||782613|Komuna e Labinotit Fushë
AL|43||782659|Komuna e Kukurit
AL|49||782686|Bashkia e Krumës
AL|46||782757|Bashkia e Korçës
AL|47||782772|Komuna e Kolshit
AL|43||782792|Komuna e Kodovjatit
AL|41||782809|Komuna e Klosit
AL|41||782814|Komuna e Trebishtës
AL|45||782844|Bashkia e Këlcyrës
AL|41||782850|Komuna e Luznit
AL|41||782857|Komuna e Kastriotit
AL|41||782907|Komuna e Kalisit
AL|41||782917|Komuna e Kalajës e Dodës
AL|47|26|782960|Hoxhaj
AL|43||782964|Komuna e Hotolishtit
AL|46||782981|Komuna e Hoçishtit
AL|41||783006|Komuna e Gurrës
AL|43||783088|Komuna e Gostimës
AL|47||783112|Komuna e Golajt
AL|41||783136|Komuna e Gjoricës
AL|45||783150|Bashkia e Gjirokastrës
AL|43||783157|Komuna e Gjinarit
AL|47||783159|Komuna e Gjinajt
AL|43||783164|Komuna e Gjergjanit
AL|40||783166|Komuna e Gjerbësit
AL|49||783171|Komuna e Gjegjanit
AL|41||783206|Komuna e Muhurit
AL|41||783211|Komuna e Fushë-Çidhnës
AL|49||783215|Bashkia e Fushë-Arrëzit
